# global_mean_precip amazon_mean_precip congo_mean_precip seasia_mean_precip
3.446148807465179443e-05 4.040977725593314395e-05 6.801595280985724991e-05 7.642983333130970187e-05
3.364632135542870679e-05 4.253742175188600171e-05 6.662225264853893075e-05 8.655423377815363989e-05
3.428754715556818716e-05 4.093433881822246598e-05 6.401180249969996004e-05 8.488980801608816788e-05
3.300137790893564911e-05 4.882842241165269480e-05 6.400348675228068377e-05 9.824012233452556083e-05
3.375288262754866283e-05 4.232644492370405439e-05 6.320327659595577254e-05 8.121909210737518980e-05
3.539501912604076014e-05 4.273679641984308442e-05 7.344634431533716154e-05 8.342956039319532552e-05
3.567928561119292140e-05 4.044940308308922353e-05 6.236063587508111140e-05 8.689393461080756537e-05
3.430182878105597963e-05 4.180715036635173623e-05 5.924781967382891678e-05 8.068631498006517580e-05
3.406771196514625299e-05 4.329861188692981440e-05 5.379404028766135020e-05 7.192252617364142120e-05
3.314948591074905995e-05 4.685588678416373071e-05 6.529140084934817597e-05 9.936618809536236204e-05
3.347610607000281360e-05 3.702729287177704477e-05 6.408545720793421235e-05 8.036063342864967077e-05
3.297782121803707390e-05 3.806744812152287378e-05 6.584210149875839720e-05 8.364647324776510492e-05
3.549075261052496791e-05 4.066091567764108599e-05 6.236177825236558208e-05 8.186560342016535976e-05
3.285175250827541992e-05 4.596120820642927968e-05 5.815911599838319095e-05 9.320702810531481875e-05
3.455907573992591310e-05 4.475872812324745327e-05 7.386829459319074829e-05 9.673808610324104076e-05
3.228836323959367698e-05 3.957954014891377131e-05 5.909472604597686672e-05 8.209778565044465468e-05
3.452733341387680588e-05 4.068450507875720495e-05 6.831213812798763720e-05 9.293762871074330567e-05
3.288754256946988089e-05 4.567509329460970067e-05 6.202559951170151607e-05 9.234783418028496248e-05
3.423188856720006890e-05 3.860443751133062944e-05 6.370570383137314830e-05 8.616667191564253826e-05
3.343131130217651332e-05 4.072351284199916274e-05 6.097291525499619368e-05 7.742503288762996830e-05
3.341500504084329658e-05 4.131705715215355855e-05 6.205649825427815818e-05 8.276833738676632924e-05
3.461228753377495402e-05 4.443053317368911130e-05 7.283832088371839644e-05 9.294443553373216333e-05
3.403323590711234412e-05 3.842390459305373735e-05 6.417318302401648516e-05 8.399368993240740894e-05
3.293269977445011928e-05 3.806437140850745806e-05 6.507139784101160032e-05 7.971913473923618028e-05
3.373747744870201292e-05 3.724172129866453243e-05 5.674736639885079136e-05 7.914109089904461868e-05
3.324756389284099937e-05 4.534109775746013169e-05 6.421551950807271735e-05 9.341055422543018604e-05
3.314020778674834939e-05 4.328818877070055103e-05 4.760805988427015237e-05 7.757202906887248066e-05
3.500941638665883886e-05 4.337272400441514699e-05 7.588679187748380403e-05 9.054826101182421576e-05
3.469750587242576657e-05 3.777533141334470785e-05 6.805269366490335442e-05 7.468396416393781952e-05
3.379759555524544120e-05 4.039235062354095237e-05 6.024697158434275655e-05 9.340800965466799946e-05
