# global_mean_temp amazon_mean_temp congo_mean_temp seasia_mean_temp
2.896266052522180985e+02 3.026931327271839791e+02 3.005102462727219290e+02 3.042678188775689136e+02
2.882841394826214696e+02 3.020922111866468640e+02 2.992153123368018441e+02 3.025419546839183909e+02
2.887550173356247569e+02 3.032003979466283567e+02 3.005181365450796420e+02 3.029450493858829532e+02
2.879696646160538762e+02 3.002939415300016890e+02 2.973655842638569311e+02 3.017768131470059529e+02
2.892490206452676489e+02 3.026069786190394098e+02 2.997220008586785411e+02 3.028092034147967979e+02
2.886499681326200175e+02 3.029632598989904295e+02 3.002980075230281614e+02 3.028672959154960154e+02
2.895511116357406536e+02 3.039897056597786218e+02 3.011018964032073200e+02 3.039806656474759734e+02
2.889380153758830261e+02 3.023649541471721705e+02 2.990056390823132801e+02 3.024523515581543052e+02
2.879348521584402079e+02 3.017747325040331816e+02 2.985976454988185083e+02 3.021690454139560984e+02
2.901040379107345188e+02 3.043194602853997708e+02 3.020489386102807430e+02 3.039984537206743767e+02
2.899011869347157813e+02 3.022582534785907455e+02 3.002936509710036717e+02 3.035657359185958057e+02
2.879534143410955380e+02 3.007400705910444572e+02 2.977688610708395913e+02 3.022645246246200372e+02
2.899618856303698635e+02 3.025518550136141585e+02 3.007338153379709524e+02 3.035119271911661372e+02
2.881883083017040690e+02 3.022087650474753104e+02 2.997563737949989786e+02 3.024767179250809477e+02
2.901683668964393519e+02 3.043309928023018074e+02 3.019803280514775565e+02 3.040977828398695806e+02
2.890970913184894471e+02 3.030899261337510779e+02 3.008057167053332819e+02 3.031638616772689261e+02
2.895200566114917820e+02 3.019031747053919617e+02 2.991951308529001494e+02 3.032353235471675816e+02
2.887646276987018723e+02 3.028934299129796841e+02 3.007839640099294343e+02 3.033381695530270576e+02
2.873207326910250003e+02 2.988922417687230109e+02 2.964382792501952508e+02 3.012417271140453749e+02
2.883722500073134256e+02 3.022221347840127805e+02 2.994329927920725822e+02 3.025979592661347510e+02
2.880392485532795490e+02 3.018733061615780002e+02 2.992654470267868305e+02 3.028444242486539792e+02
2.901373329898146380e+02 3.046797567300012588e+02 3.028321966344580574e+02 3.042526062852383575e+02
2.900414404823296763e+02 3.045948423437969836e+02 3.020613337883272607e+02 3.042083565543705390e+02
2.893473907372437566e+02 3.029943756934465000e+02 3.003618578115413129e+02 3.039228544268123642e+02
2.870460501112193583e+02 2.996495901855566331e+02 2.971155500893121371e+02 3.014503266029710176e+02
2.893376796326013505e+02 3.016271666842347372e+02 2.992866061150967880e+02 3.032748784456153430e+02
2.885301906695775642e+02 3.027372545781265103e+02 2.998642240472373146e+02 3.030761658352104178e+02
2.876880055866363932e+02 3.009185383690973481e+02 2.979887373346150525e+02 3.022840072783221785e+02
2.889833027828577769e+02 3.030643091303242613e+02 2.996639416081230820e+02 3.031267841888891894e+02
2.892001190382722484e+02 3.037159505002775290e+02 3.005593913796494689e+02 3.036280167513148740e+02
2.875186258299715973e+02 3.011205293253909190e+02 2.980772188627396986e+02 3.022817659172404774e+02
2.901443095563495262e+02 3.027523961659694578e+02 3.005743874798415618e+02 3.037056928222719989e+02
2.891197803088442129e+02 3.023490495414193902e+02 2.999462647199182470e+02 3.039075490385832836e+02
2.895310183282438175e+02 3.020410111098765356e+02 3.000494631094542228e+02 3.032823356037760618e+02
