ÓBIDOS   
 obs upstream area=4.67e+06 
 mod upstream area=4.61644e+06 
 mod gridbox area=2.55505e+09 
 obs longitude=-55.5131 
 obs latitude=-1.9192
 datem rflowobs rflowS0_rescale rflowS1_rescale rflowS2_rescale rflowS3_rescale
 1905.62 -999.0 95866.947096 95880.2154977 95913.5501908 95913.5501908
 1905.71 -999.0 70179.6678724 70190.0717245 70212.5885297 70212.5885297
 1905.79 -999.0 58166.5551083 58178.9376661 58197.5018742 58197.5018742
 1905.87 -999.0 55114.80344 55127.9899975 55150.2564555 55150.2564555
 1905.96 -999.0 64062.4869126 64074.2532312 64118.1458361 64118.1458361
 1906.04 -999.0 75261.6679601 75284.4254837 75339.7618444 75339.7618444
 1906.12 -999.0 93206.699939 93241.6330026 93319.9531624 93319.9531624
 1906.2 -999.0 115705.537921 115735.406268 115872.038069 115872.038069
 1906.29 -999.0 129112.015819 129155.826579 129225.634934 129225.634934
 1906.37 -999.0 133207.118344 133251.891978 133290.204729 133290.204729
 1906.45 -999.0 149333.878584 149376.168004 149415.04885 149415.04885
 1906.54 -999.0 143163.503658 143196.886494 143227.621428 143227.621428
 1906.62 -999.0 110341.983888 110361.559114 110382.9638 110382.9638
 1906.71 -999.0 84494.5402268 84508.7426162 84526.2572917 84526.2572917
 1906.79 -999.0 66344.3727864 66361.3338095 66373.8270978 66373.8270978
 1906.87 -999.0 55440.6351397 55459.0115874 55470.3060977 55470.3060977
 1906.96 -999.0 61365.4098305 61385.5001936 61404.4351081 61404.4351081
 1907.04 -999.0 61438.6989744 61462.9874675 61483.7903572 61483.7903572
 1907.12 -999.0 67924.9735564 67964.8365342 67988.6098898 67988.6098898
 1907.2 -999.0 89549.9746246 89602.5571661 89631.8863039 89631.8863039
 1907.29 -999.0 120222.956921 120277.946647 120321.603348 120321.603348
 1907.37 -999.0 142971.602897 143033.438657 143071.414402 143071.414402
 1907.45 -999.0 157512.259543 157560.085488 157599.389999 157599.389999
 1907.54 -999.0 137373.675738 137408.252539 137440.691759 137440.691759
 1907.62 -999.0 106228.394185 106255.046533 106275.199483 106275.199483
 1907.71 -999.0 81263.9828828 81285.1468502 81299.5610719 81299.5610719
 1907.79 -999.0 64723.5816616 64743.4842642 64756.4830613 64756.4830613
